Com1	Com2	Com4	D1	D2	D3	D4	MI1	MI2	MI3	MI4
WASH7P	21.1759544196446	22.4114280534568	22.8048012222724	17.7011552826647	16.6128067612519	18.0531169994814	18.8442697652815	18.6772705216579	19.1477784755062	18.3085017775412	17.4885468696589
LOC100996442	3.61250849807629	3.75213953836155	4.15654012425654	0.821018334075357	1.40709565464155	0.932977622712219	1.07016840642339	1.78774881567506	1.47745204286313	1.71380952712143	1.58607346311942
WASH9P	13.3567748415716	15.819831567146	12.8066371396012	11.0016456766098	11.0752045075012	11.9421135707164	10.2363934527455	11.7144593448182	12.0264596289059	10.408257859835	11.1859917925264
LOC100133331	2.61431536044995	2.73804777123681	3.07059720891024	2.7586216024932	2.2695091203896	1.95925300769566	2.41951117973985	2.117070965931	2.27527614600922	2.21541231554722	1.91998366588141
LOC100288069	4.51563562259537	4.81693589384253	4.83057365791977	2.88998453594525	3.49504404539998	3.21877279835716	2.27992399629332	2.54048515911719	3.22084545344163	3.00961673055471	2.62954284675062
LINC01409	1.73495473920769	2.23100188767443	1.34806706732645	1.08374420097947	1.22553492501038	1.21287090952588	1.67504620135836	1.6936567727448	1.30015779771956	1.04500580922039	1.16868570966694
LINC00115	1.37845719005543	1.31831929726217	1.31062075990071	1.21510713443153	1.04397419537922	0.746382098169775	0.744464978381491	1.36433462248886	1.38880492029134	1.58840883001499	1.29390203570269
LINC01128	5.72772728971307	7.55498366507934	8.12584871138441	7.75041307367137	6.99008809079996	6.25095007217187	7.63076602841029	7.71554752028185	6.94402460145672	7.52404182638678	8.01384486628761
LOC284600	9.53036781400391	10.3437360246724	10.5973050014829	9.32676827509605	11.8468376084337	10.6359448989193	8.14258570104756	14.7724507400518	13.4152645491972	11.5368641337931	13.8155346392771
LINC02593	3.13717843253994	2.1802972993182	1.9472079861382	1.87192180169181	3.17731276854544	3.35871944176399	1.58198807906067	4.51641806065279	4.16641476087403	4.55622532820088	4.29909386056054
LOC107985728	7.12995098304532	6.43948272124212	5.69183872871166	10.0821051424454	11.120594689909	10.2627538498344	9.53845753551286	11.291045151632	11.8196163429051	9.69765390956518	9.72513465544277
SAMD11	9.45906830417345	8.72118919727279	5.65439242128593	18.6863772835551	16.5220263964363	18.8461479787868	14.6566542618856	16.4661075127966	16.0155801446363	15.7168873706746	15.652040754468
NOC2L	171.689219671731	179.342129016011	189.10385249996	247.651970290491	238.298457640908	255.82246414769	245.999146293934	186.019968873137	190.088979834771	197.380697245546	190.579248226402
