Com1	Com2	Com4	D1	D2	D4	MI1	MI2	MI4
WASH7P	21.3641453086391	22.5359576682595	22.8997821697486	17.9864317229766	16.7718684247702	19.0844808273378	18.5420592668053	18.9645058440314	17.3108234285331
LOC100996442	3.64461289215841	3.77298838789865	4.17385192256502	0.834250079915428	1.42056809062262	1.08381002229326	1.77480668044988	1.46331063611353	1.56995534674047
WASH9P	13.4754766144278	15.9077348246538	12.859976193849	11.1789510708667	11.1812456165135	10.3668784741094	11.6296543008426	11.9113485779642	11.0723166559591
LOC100133331	2.63754880353569	2.75326179657469	3.08338610495794	2.80308026851584	2.29123885584293	2.45035309388041	2.10174475316433	2.25349837961484	1.90047226184373
LOC100288069	4.55576611519801	4.84370130878881	4.85069277487286	2.93656028130231	3.52850783799811	2.30898656923347	2.52209370379719	3.19001718672751	2.60282070643815
LINC01409	1.75037329689187	2.24339850091271	1.35368170461568	1.10121010548837	1.23726898215518	1.69639829576336	1.68139580253146	1.28771335977991	1.1568092028614
LINC00115	1.39070755095518	1.32564456872115	1.31607943504302	1.23469011827483	1.05396987368775	0.75395479811705	1.35445772981701	1.37551199794672	1.28075304602512
LINC01128	5.77862965138275	7.59696310536351	8.15969249726674	7.87532075440164	7.05701567599622	7.72803668069976	7.65969198931	6.87755998973361	7.93240596247819
LOC284600	9.61506427470739	10.4012112315044	10.6414422890622	9.47708090783926	11.9602668275001	8.24638060440524	14.6655078331911	13.2868605759109	13.6751373623973
LINC02593	3.16505856424283	2.19241217134652	1.95531801777821	1.90209018220718	3.2077343981801	1.60215394599873	4.4837221400839	4.12653599384017	4.25540528195444
LOC107985728	7.19331491873371	6.47526385490715	5.71554497504399	10.2445909813615	11.2270703936304	9.6600458508747	11.2093053502098	11.7064850889083	9.62630515238238
SAMD11	9.54313112552005	8.76964868538606	5.67794270547133	18.9875318188751	16.6802188705365	14.8434850879294	16.3469036357226	15.8622872954707	15.4929803954652
NOC2L	173.215023243108	180.338647675642	189.891461341922	251.64319410569	240.580079863508	249.134938602803	184.673305644706	188.269546442367	188.642529295184
KLHL17	44.6704856453363	47.4172864965642	42.0017351126588	34.2709932829258	32.9480147470213	33.5038663413264	41.8480733074497	41.5287558529021	34.291129941963
PLEKHN1	3.02119226586816	3.46707041050147	3.23379518324857	0.767510073522194	1.00814509657089	0.989565672528628	1.72810124149067	1.78523897605851	0.826292287758144
HES4	1.58252928212142	1.73353520525073	1.09046581760708	4.13788039638052	4.85742637438701	4.99495053752546	2.98914809338927	3.24854961217205	2.56150609205025
ISG15	6.8576268891928	6.78118183230434	7.70846526239485	7.90869075759826	7.7443873327491	7.77515885558208	6.86569952700347	7.60921530779038	6.94085521716841
AGRN	115.644526176842	137.969007806132	124.839534981224	108.852950427365	111.170909285499	96.2706032845708	135.165540347946	139.248640132564	119.605808652991
C1orf159	23.8338500974044	21.873135383899	20.4932369170985	22.7917121832895	24.6995548659868	23.9380648402163	24.0065956250326	24.5836186867074	25.7390047636662
SDF4	142.067969644991	151.990248436836	152.251589499691	162.211585538756	158.049656276045	152.534480094056	152.353141884934	158.739937805596	153.525107065463
B3GALT6	55.5084134562284	69.8512715056913	75.0165277974523	76.2504573042701	73.6862416039086	82.6994169184639	67.8630028077282	71.3217604041737	75.1925981859911
C1QTNF12	1.19888581978895	1.58057621655214	1.20327262632505	1.568390150241	1.74134153044063	1.64927612088105	1.3077522908578	1.66817412516943	1.61126996112838
UBE2J2	84.7852051754746	89.6339673773762	92.3135718008749	99.0755394907563	91.2829560167823	100.275988149568	80.1932386929589	80.4528187735221	83.8686672074517
LINC01786	1.96617274445388	1.32564456872115	1.65449986119694	1.33480012786469	1.14561942792146	1.36654307158715	1.63469036357226	1.72670655061397	1.81784303306792
SCNN1D	1.99015046084966	3.11016610353808	2.25613617435947	2.23579021417335	2.29123885584293	1.5079095962341	3.92325687257341	3.33634825033886	2.72676454960188
