Com1	Com2	Com4	D1	D2	D4
WASH7P	21.3641453086391	22.5359576682595	22.8997821697486	17.9864317229766	16.7718684247702	19.0844808273378
LOC100996442	3.64461289215841	3.77298838789865	4.17385192256502	0.834250079915428	1.42056809062262	1.08381002229326
WASH9P	13.4754766144278	15.9077348246538	12.859976193849	11.1789510708667	11.1812456165135	10.3668784741094
LOC100133331	2.63754880353569	2.75326179657469	3.08338610495794	2.80308026851584	2.29123885584293	2.45035309388041
LOC100288069	4.55576611519801	4.84370130878881	4.85069277487286	2.93656028130231	3.52850783799811	2.30898656923347
LINC01409	1.75037329689187	2.24339850091271	1.35368170461568	1.10121010548837	1.23726898215518	1.69639829576336
LINC00115	1.39070755095518	1.32564456872115	1.31607943504302	1.23469011827483	1.05396987368775	0.75395479811705
LINC01128	5.77862965138275	7.59696310536351	8.15969249726674	7.87532075440164	7.05701567599622	7.72803668069976
LOC284600	9.61506427470739	10.4012112315044	10.6414422890622	9.47708090783926	11.9602668275001	8.24638060440524
LINC02593	3.16505856424283	2.19241217134652	1.95531801777821	1.90209018220718	3.2077343981801	1.60215394599873
LOC107985728	7.19331491873371	6.47526385490715	5.71554497504399	10.2445909813615	11.2270703936304	9.6600458508747
SAMD11	9.54313112552005	8.76964868538606	5.67794270547133	18.9875318188751	16.6802188705365	14.8434850879294
NOC2L	173.215023243108	180.338647675642	189.891461341922	251.64319410569	240.580079863508	249.134938602803
KLHL17	44.6704856453363	47.4172864965642	42.0017351126588	34.2709932829258	32.9480147470213	33.5038663413264
PLEKHN1	3.02119226586816	3.46707041050147	3.23379518324857	0.767510073522194	1.00814509657089	0.989565672528628
HES4	1.58252928212142	1.73353520525073	1.09046581760708	4.13788039638052	4.85742637438701	4.99495053752546
ISG15	6.8576268891928	6.78118183230434	7.70846526239485	7.90869075759826	7.7443873327491	7.77515885558208
AGRN	115.644526176842	137.969007806132	124.839534981224	108.852950427365	111.170909285499	96.2706032845708
C1orf159	23.8338500974044	21.873135383899	20.4932369170985	22.7917121832895	24.6995548659868	23.9380648402163
SDF4	142.067969644991	151.990248436836	152.251589499691	162.211585538756	158.049656276045	152.534480094056
B3GALT6	55.5084134562284	69.8512715056913	75.0165277974523	76.2504573042701	73.6862416039086	82.6994169184639
C1QTNF12	1.19888581978895	1.58057621655214	1.20327262632505	1.568390150241	1.74134153044063	1.64927612088105
UBE2J2	84.7852051754746	89.6339673773762	92.3135718008749	99.0755394907563	91.2829560167823	100.275988149568
LINC01786	1.96617274445388	1.32564456872115	1.65449986119694	1.33480012786469	1.14561942792146	1.36654307158715
SCNN1D	1.99015046084966	3.11016610353808	2.25613617435947	2.23579021417335	2.29123885584293	1.5079095962341
ACAP3	109.482253063127	110.691321488216	101.037298341731	69.4763466553569	72.9530451700389	72.5210271438837
PUSL1	21.0044795627024	24.0145612256793	22.63656628274	28.497982729911	28.1364131497512	27.8492053554485
INTS11	113.414598552035	108.549895646436	104.233491255407	117.762741280862	123.956022101102	118.323781129495
CPTP	20.8845909807235	22.3829986795609	20.0796119517993	16.2845615599492	14.9847021172128	14.0424081149301
TAS1R3	1.41468526735096	2.44734381917751	0.940056739316445	1.73524016622409	1.97046541602492	1.93200917017494
DVL1	80.5891048062133	78.4169748728126	80.7320727724963	90.2324886436527	98.5690955783628	97.5900241812757
MXRA8	6.5219388596519	7.95386741232689	6.09156767077056	9.27686088865956	12.4185145986687	10.0841454248155
AURKAIP1	83.874051952435	95.2934499592241	103.895070829253	158.574255190325	144.668821357923	158.142018905051
CCNL2	183.357597278522	185.029389995733	176.505053374056	180.865417325665	178.899929864216	196.687957958785
MRPL20-AS1	27.5503961387501	29.3171395005639	28.0136908316301	24.5936923559068	26.3950716193105	27.3779836066254
MRPL20	38.1005913528929	44.1541614043275	50.7254616535154	73.7143370613272	69.5161868862745	72.1911719197075
ATAD3B	62.4139957782128	69.3923945395955	63.8862560039456	72.946826987805	66.3084524880944	74.0289367401178
ATAD3A	85.3127149361818	89.2260767408466	95.6977760624141	133.546752792862	128.401025481438	126.947139132958
TMEM240	1.79832872968343	1.22367190958875	1.31607943504302	2.26916021736996	2.29123885584293	2.63884179340968
SSU72	89.0292609775275	100.188137597579	105.135945725151	143.491013745454	143.477377152884	140.188470274889
FNDC10	6.80967145640124	8.10682640102549	7.29484029709561	13.7150713138096	16.8176932018871	14.2780189893416
MIB2	75.0262746023926	81.5271409763507	74.2644824059991	65.805646303729	65.7585551626921	60.8818499479518
CDK11B	82.6032329834588	83.3116625111676	87.1244585998481	79.6875676335217	71.7157761878837	79.1181316274079
SLC35E2B	91.690787497459	84.9432250572859	74.1140733277085	67.7077364859362	74.2361389293109	71.6728279960021
CDK11A	57.402653051495	60.3678142063785	55.9521771241148	49.1206447054204	48.0243664184678	48.3944736041381
SLC35E2A	54.4533939348142	50.7823842479332	45.160325756762	36.9405935386552	41.8838462848087	38.970038627675
NADK	137.224470933043	199.917398229063	183.273461897134	110.654930599982	114.378643683679	113.611563641263
GNB1	342.329856982537	364.042393102654	386.363319859059	440.016862150593	428.690789928212	433.382642392657
GABRD	1.12695267060161	0.662822284360574	0.67684085230784	2.93656028130231	3.66598216934869	2.78020831805662
PRKCZ	4.36394438403178	6.37329119577475	5.60273816632601	1.73524016622409	2.47453796431036	2.30898656923347
FAAP20	26.2076440205865	29.7250301370935	28.3897135273566	26.1620825061478	28.4113618124523	25.3046079118035
LOC112268219	3.8843900561162	3.62002939920006	4.0986473834197	3.37037032285833	3.48268306088125	4.05250703987914
